ID,prefix,fwd_to
1,10.3.0.0/16,15
1,10.20.0.0/16,12
1,10.30.0.0/20,14
1,10.30.16.0/20,14
1,10.30.32.0/20,14
1,10.30.48.0/20,14
1,10.30.64.0/20,14
1,10.30.80.0/20,14
1,10.30.96.0/20,14
1,10.30.112.0/20,14
1,10.30.128.0/20,14
1,10.30.144.0/20,14
1,10.31.0.0/20,13
1,10.31.16.0/20,13
1,10.31.32.0/20,13
1,10.31.48.0/20,13
1,10.31.64.0/20,13
1,10.31.80.0/20,13
1,10.31.96.0/20,13
1,10.31.112.0/20,13
1,10.31.128.0/20,13
1,10.31.144.0/20,13
1,10.31.160.0/20,13
1,10.31.176.0/20,13
1,10.31.192.0/20,13
1,10.31.208.0/20,13
1,10.31.224.0/20,13
1,10.31.240.0/20,13
1,10.48.8.0/23,10
1,10.48.12.0/22,10
1,10.48.16.0/21,10
1,10.48.32.0/19,10
1,10.62.0.0/20,12
1,10.62.16.0/20,14
1,10.62.32.0/20,11
1,10.62.64.0/20,15
1,10.62.80.0/20,10
1,10.62.96.0/20,12
1,10.62.112.0/20,13
1,10.62.128.0/20,13
1,10.62.144.0/20,12
1,10.63.16.0/20,13
1,10.63.32.0/20,11
1,10.63.80.0/20,10
1,10.63.96.0/20,12
1,10.63.112.0/20,13
1,10.63.128.0/20,14
1,10.75.216.0/22,10
1,10.75.223.0/24,10
1,10.200.0.0/16,10
1,68.65.168.112/28,2
1,128.12.0.0/16,13
1,128.12.0.2/32,14
1,128.12.0.3/32,13
1,128.12.0.16/32,13
1,128.12.0.17/32,14
1,128.12.1.16/28,14
1,128.12.1.80/29,13|14
1,128.12.1.80/32,13|14
1,128.12.1.81/32,13|14
1,128.12.1.87/32,13|14
1,128.12.1.88/29,13|14
1,128.12.1.88/32,13|14
1,128.12.1.91/32,13|14
1,128.12.1.95/32,13|14
1,128.12.1.248/29,13
1,128.12.2.0/27,13
1,128.12.6.0/24,14
1,128.12.7.0/24,14
1,128.12.8.0/24,14
1,128.12.9.0/24,14
1,128.12.10.0/24,14
1,128.12.11.0/24,14
1,128.12.12.0/24,14
1,128.12.13.0/24,14
1,128.12.14.0/23,14
1,128.12.18.0/23,14
1,128.12.20.0/23,13
1,128.12.22.0/23,13
1,128.12.24.0/22,14
1,128.12.28.0/22,13
1,128.12.32.0/19,13
1,128.12.32.0/22,13
1,128.12.36.0/22,14
1,128.12.40.0/21,14
1,128.12.48.0/22,14
1,128.12.52.0/22,14
1,128.12.56.0/21,14
1,128.12.64.0/22,13
1,128.12.68.0/22,13
1,128.12.72.0/22,13
1,128.12.76.0/22,14
1,128.12.80.0/22,13
1,128.12.88.0/21,14
1,128.12.96.0/20,13
1,128.12.130.0/23,14
1,128.12.132.0/22,14
1,128.12.136.0/22,14
1,128.12.140.0/23,14
1,128.12.142.0/23,14
1,128.12.144.0/22,14
1,128.12.148.0/22,14
1,128.12.152.0/22,14
1,128.12.156.0/22,14
1,128.12.160.0/22,14
1,128.12.164.0/23,14
1,128.12.166.0/23,14
1,128.12.168.0/22,14
1,128.12.172.0/23,14
1,128.12.174.0/23,14
1,128.12.176.0/22,14
1,128.12.180.0/22,14
1,128.12.188.0/22,14
1,128.12.192.0/22,13
1,128.12.192.0/24,13
1,128.12.195.0/24,13
1,128.12.196.0/23,13
1,128.12.198.0/24,14
1,128.12.199.0/24,14
1,128.12.200.0/24,14
1,128.12.201.0/24,14
1,128.12.202.0/24,14
1,128.12.204.0/22,13
1,128.12.208.0/21,14
1,128.12.216.0/22,14
1,128.12.220.0/23,14
1,128.12.222.0/23,14
1,128.12.224.0/23,14
1,128.12.226.0/23,14
1,128.12.228.0/23,14
1,128.12.230.0/23,14
1,128.12.232.0/23,14
1,128.12.234.0/23,14
1,128.12.236.0/23,14
1,128.12.238.0/23,14
1,128.12.240.0/22,13
1,128.12.244.0/22,13
1,128.12.248.0/22,13
1,128.12.252.0/22,13
1,171.64.0.18/32,15
1,171.64.0.107/32,2
1,171.64.0.109/32,2
1,171.64.0.125/32,2
1,171.64.1.8/29,2
1,171.64.1.24/30,2
1,171.64.1.28/30,2
1,171.64.1.104/30,2
1,171.64.1.108/30,2
1,171.64.2.0/26,11
1,171.64.2.128/27,11
1,171.64.2.200/29,10
1,171.64.7.0/27,12
1,171.64.7.64/27,12
1,171.64.7.96/27,12
1,171.64.7.128/26,12
1,171.64.7.216/29,12
1,171.64.7.232/29,12
1,171.64.7.240/29,12
1,171.64.8.0/23,12
1,171.64.10.0/23,12
1,171.64.12.0/25,12
1,171.64.12.128/26,12
1,171.64.13.0/24,12
1,171.64.14.0/24,12
1,171.64.15.0/27,15
1,171.64.15.32/27,15
1,171.64.15.64/27,15
1,171.64.15.96/27,15
1,171.64.15.160/27,15
1,171.64.15.192/27,12
1,171.64.15.224/27,12
1,171.64.16.0/25,12
1,171.64.16.128/25,12
1,171.64.17.0/27,12
1,171.64.17.64/27,12
1,171.64.17.128/27,12
1,171.64.17.208/29,12
1,171.64.17.240/28,12
1,171.64.18.0/23,12
1,171.64.22.0/23,12
1,171.64.24.0/24,12
1,171.64.25.0/24,12
1,171.64.26.0/24,12
1,171.64.27.0/24,12
1,171.64.28.0/24,10
1,171.64.29.0/24,10
1,171.64.30.0/24,10
1,171.64.31.0/25,10
1,171.64.31.128/27,10
1,171.64.32.0/24,13
1,171.64.33.0/24,13
1,171.64.34.0/24,13
1,171.64.35.0/24,13
1,171.64.36.0/23,13
1,171.64.38.0/24,13
1,171.64.39.0/24,13
1,171.64.40.0/23,13
1,171.64.42.0/24,13
1,171.64.43.0/24,13
1,171.64.44.0/24,13
1,171.64.45.0/24,13
1,171.64.47.0/25,13
1,171.64.48.0/24,11
1,171.64.49.0/24,11
1,171.64.50.0/24,11
1,171.64.51.0/24,11
1,171.64.52.0/22,11
1,171.64.56.0/22,11
1,171.64.60.0/22,11
1,171.64.64.0/24,15
1,171.64.65.0/24,15
1,171.64.66.0/24,15
1,171.64.67.0/24,15
1,171.64.68.0/23,15
1,171.64.70.0/24,15
1,171.64.71.0/24,15
1,171.64.72.0/24,15
1,171.64.73.0/24,15
1,171.64.74.0/24,15
1,171.64.75.0/24,15
1,171.64.76.0/24,15
1,171.64.77.0/24,15
1,171.64.78.0/24,15
1,171.64.79.0/24,15
1,171.64.79.128/28,15
1,171.64.84.0/22,11
1,171.64.88.0/24,15
1,171.64.89.0/24,15
1,171.64.90.0/23,15
1,171.64.92.0/23,15
1,171.64.94.0/24,15
1,171.64.95.0/24,15
