acl_id,action,src_ip,src_ip_mask,dst_ip,dst_ip_mask,ip_protocol,transport_src_begin,transport_src_end,transport_dst_begin,transport_dst_end,transport_ctrl_begin,transport_ctrl_end,acl_id
88,True,0,4294967295,0,4294967295,0,0,65535,0,65535,0,255,88
100,True,2886795264,65535,2887454752,31,0,0,65535,0,65535,0,255,100
100,False,2886795264,65535,0,4294967295,0,0,65535,0,65535,0,255,100
100,True,0,4294967295,0,4294967295,0,0,65535,0,65535,0,255,100
102,True,2887386690,0,0,4294967295,0,0,65535,0,65535,0,255,102
102,True,2873100160,63,0,4294967295,0,0,65535,0,65535,0,255,102
102,False,0,4294967295,0,4294967295,6,0,65535,445,445,0,255,102
102,True,0,4294967295,0,4294967295,6,0,65535,140,65535,0,255,102
102,False,0,4294967295,0,4294967295,6,0,65535,135,65535,0,255,102
102,True,0,4294967295,0,4294967295,6,0,65535,0,65535,0,255,102
102,False,0,4294967295,0,4294967295,17,0,65535,445,445,0,255,102
102,True,0,4294967295,0,4294967295,17,0,65535,0,65535,0,255,102
102,False,0,4294967295,0,4294967295,17,0,65535,135,65535,0,255,102
102,True,0,4294967295,0,4294967295,0,0,65535,0,65535,0,255,102
157,False,3361148174,0,0,4294967295,0,0,65535,0,65535,0,255,157
157,False,3400912402,0,0,4294967295,0,0,65535,0,65535,0,255,157
157,False,3716432803,0,0,4294967295,0,0,65535,0,65535,0,255,157
157,False,3531913559,0,0,4294967295,0,0,65535,0,65535,0,255,157
157,False,3645783823,0,0,4294967295,0,0,65535,0,65535,0,255,157
157,True,0,4294967295,0,4294967295,0,0,65535,0,65535,0,255,157
158,True,0,4294967295,2873296370,0,6,0,65535,1433,1433,0,255,158
158,False,0,4294967295,0,4294967295,6,0,65535,1433,1433,0,255,158
158,False,2873138532,0,0,4294967295,0,0,65535,0,65535,0,255,158
158,True,2873138480,0,3491598592,255,0,0,65535,0,65535,0,255,158
158,False,2873138480,0,0,4294967295,0,0,65535,0,65535,0,255,158
158,True,0,4294967295,0,4294967295,0,0,65535,0,65535,0,255,158
160,False,0,4294967295,0,4294967295,6,0,65535,1433,1433,0,255,160
160,True,0,4294967295,0,4294967295,0,0,65535,0,65535,0,255,160
166,False,2873289819,0,0,4294967295,0,0,65535,0,65535,0,255,166
166,True,0,4294967295,0,4294967295,0,0,65535,0,65535,0,255,166
198,False,0,4294967295,0,4294967295,6,0,65535,445,445,0,255,198
198,True,0,4294967295,0,4294967295,6,0,65535,140,65535,0,255,198
198,False,0,4294967295,0,4294967295,6,0,65535,135,65535,0,255,198
198,True,0,4294967295,0,4294967295,6,0,65535,0,65535,0,255,198
198,True,0,4294967295,0,4294967295,17,0,65535,0,65535,0,255,198
198,False,0,4294967295,0,4294967295,17,0,65535,135,65535,0,255,198
